epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,440.117,1.05527,0.47806,0.155,0.79258,0.64154,0.68346,0.31983,nan,nan,nan,0.000665577,0.000665577,0.000665577
2,864.062,0.98762,0.49015,0.13896,0.78931,0.51458,0.5699,0.26682,nan,nan,nan,0.00122233,0.00122233,0.00122233
3,1284.22,0.89299,0.49585,0.13055,0.82684,0.5599,0.65828,0.30525,0.79474,0.5587,0.15822,0.00166909,0.00166909,0.00166909
4,1700.41,0.87306,0.5052,0.1232,0.74942,0.56449,0.61899,0.29697,0.81331,0.53106,0.1679,0.001505,0.001505,0.001505
5,2116.38,0.84492,0.5138,0.11907,0.76805,0.66003,0.67514,0.31058,0.7974,0.47433,0.16918,0.00134,0.00134,0.00134
6,2550.85,0.81939,0.48851,0.10802,0.82371,0.54941,0.62466,0.29197,0.79529,0.54217,0.16319,0.001175,0.001175,0.001175
